ADDRESS,LATITUDE,LONGITUDE,ALTITUDE,ALTITUDE IN,2030 Med,Damage 2030,Damage Done 30,2060 Med,Damage 2060,Damage Done 60,LOT SIZE,CITY,COUNTY,LIST PRICE,ZIP CODE,year
4511 Lake Rd,25.820592,-80.184896,3.700000048,44.40000057,11,295438.455,9204561.545,21,655605.21,8844394.79,30823,Miami,Miami-Dade County,9500000,33137,2019
58 La Gorce Cir,25.849416,-80.130845,0.3000000119,3.600000143,11,172530,8822470,21,382860,8612140,18000,Miami Beach,Miami-Dade County,8995000,33141,2019
6410 N Bay Rd,25.845076,-80.128197,0.3000000119,3.600000143,11,230040,8669960,21,510480,8389520,24000,Miami Beach,Miami-Dade County,8900000,33141,2019
5711 Pine Tree Dr,25.836806,-80.123334,2.900000095,34.80000114,11,157203.585,8742796.415,21,348849.27,8551150.73,16401,Miami Beach,Miami-Dade County,8900000,33140,2019
3675 Flamingo Dr,25.812221,-80.125642,3.5,42,11,264546,8635454,21,587052,8312948,27600,Miami Beach,Miami-Dade County,8900000,33140,2018
741 Buttonwood Ln,25.820988,-80.180524,0,0,11,180648.495,8564351.505,21,400875.69,8344124.31,18847,Miami,Miami-Dade County,8745000,33137,2019
5242 N Bay Rd,25.830922,-80.130274,0.3000000119,3.600000143,11,128831.985,8371168.015,21,285890.07,8214109.93,13441,Miami Beach,Miami-Dade County,8500000,33140,2018
520 Lakeview Ct,25.823884,-80.12696,3.400000095,40.80000114,11,153973.44,7846026.56,21,341681.28,7658318.72,16064,Miami Beach,Miami-Dade County,8000000,33140,2019
5401 Pine Tree Dr,25.831803,-80.123955,2.700000048,32.40000057,11,119735.82,7875264.18,21,265704.84,7729295.16,12492,Miami Beach,Miami-Dade County,7995000,33140,2019
6444 Allison Rd,25.846395,-80.124373,0.3000000119,3.600000143,11,165628.8,7819371.2,21,367545.6,7617454.4,17280,Miami Beach,Miami-Dade County,7985000,33141,2019
6301 Pine Tree Dr,25.844265,-80.125389,2,24,11,202626.9,7647373.1,21,449647.8,7400352.2,21140,Miami Beach,Miami-Dade County,7850000,33141,2019
4528 PRAIRIE AV,25.819706,-80.130087,0.3000000119,3.600000143,11,116256.465,7633743.535,21,257983.83,7492016.17,12129,Miami Beach,Miami-Dade County,7750000,33140,2017
1776 Bay Dr,25.849328,-80.138329,0.3000000119,3.600000143,11,133614.9,7366385.1,21,296503.8,7203496.2,13940,Miami Beach,Miami-Dade County,7500000,33141,2019
4241 Palm Ln,25.818142,-80.183002,0.200000003,2.400000036,11,146650.5,6848349.5,21,325431,6669569,15300,Miami,Miami-Dade County,6995000,33137,2019
6050 N Bay Rd,25.843098,-80.130136,0.3000000119,3.600000143,11,188680.725,6801319.275,21,418699.95,6571300.05,19685,Miami Beach,Miami-Dade County,6990000,33140,2016
6505 Allison Rd,25.847899,-80.123772,0,0,11,207036,6542964,21,459432,6290568,21600,Miami Beach,Miami-Dade County,6750000,33141,2018
625 Buttonwood Lane,25.820894,-80.183183,0.1000000015,1.200000018,11,300614.355,6399385.645,21,667091.01,6032908.99,31363,Miami,Miami-Dade County,6700000,33137,2017
4455 ISLAND RD,25.820452,-80.183098,0.3000000119,3.600000143,11,346785.3,6353214.7,21,769548.6,5930451.4,36180,Miami,Miami-Dade County,6700000,33137,2015
5185 N Bay Rd,25.829139,-80.130473,0.6000000238,7.200000286,11,361689.975,6133310.025,21,802623.45,5692376.55,37735,Miami Beach,Miami-Dade County,6495000,33140,2019
4333 Pine Tree Dr,25.815732,-80.12531,3.299999952,39.59999943,11,396819,6002181,21,880578,5518422,41400,Miami Beach,Miami-Dade County,6399000,33140,2019
4825 Lakeview Dr,25.824899,-80.126511,5.300000191,63.60000229,11,319190.085,5980809.915,21,708312.27,5591687.73,33301,Miami Beach,Miami-Dade County,6300000,33140,2018
627 SABAL PALM RD,25.816413,-80.184564,5.099999905,61.19999886,11,121183.155,6128816.845,21,268916.61,5981083.39,12643,Miami,Miami-Dade County,6250000,33137,2019
1220 S Biscayne Point Rd,25.862168,-80.13025,1.100000024,13.20000029,11,107831.25,6092168.75,21,239287.5,5960712.5,11250,Miami Beach,Miami-Dade County,6200000,33141,2018
6417 Pine Tree Drive Cir,25.845857,-80.125936,0.3000000119,3.600000143,11,155612.475,6034387.525,21,345318.45,5844681.55,16235,Miami Beach,Miami-Dade County,6190000,33141,2019
6001 Pine Tree Dr,25.84112,-80.124146,2.799999952,33.59999943,11,121173.57,5957826.43,21,268895.34,5810104.66,12642,Miami Beach,Miami-Dade County,6079000,33140,2018
5454 Pine Tree Dr,25.832667,-80.124537,3.599999905,43.19999886,11,145059.39,5804940.61,21,321900.18,5628099.82,15134,Miami Beach,Miami-Dade County,5950000,33140,2019
4440 PRAIRIE AV,25.818302,-80.130546,0.3000000119,3.600000143,11,90175.68,5859824.32,21,200108.16,5749891.84,9408,Miami Beach,Miami-Dade County,5950000,33140,2019
4255 Lake Rd,25.818237,-80.184087,3.200000048,38.40000057,11,159772.365,5790227.635,21,354549.63,5595450.37,16669,Miami,Miami-Dade County,5950000,33137,2018
711 Buttonwood Ln,25.820966,-80.181498,0,0,11,134956.8,5815043.2,21,299481.6,5650518.4,14080,Miami,Miami-Dade County,5950000,33137,2018
5529 Pine Tree Dr,25.833616,-80.123621,3.799999952,45.59999943,11,150561.18,5499438.82,21,334109.16,5315890.84,15708,Miami Beach,Miami-Dade County,5650000,33140,2019
580 Lakeview Dr,25.824286,-80.128345,3.900000095,46.80000114,11,149526,5450474,21,331812,5268188,15600,Miami Beach,Miami-Dade County,5600000,33140,2019
6341 Allison Rd,25.844927,-80.123234,0.6999999881,8.399999857,11,155277,5344723,21,344574,5155426,16200,Miami Beach,Miami-Dade County,5500000,33141,2019
1270 NE 82nd St,25.850847,-80.172238,0.3000000119,3.600000143,11,92495.25,5407504.75,21,205255.5,5294744.5,9650,Miami,Miami-Dade County,5500000,33138,2018
1201 NE 83rd St,25.852292,-80.173677,0.6000000238,7.200000286,11,240200.1,5209799.9,21,533026.2,4916973.8,25060,Miami Beach,Miami-Dade County,5450000,33138,2019
5445 PINETREE DR,25.832412,-80.123886,2.799999952,33.59999943,11,102517.6733,5197482.327,21,227496.1828,5072503.817,10695.63624,Miami Beach,Miami-Dade County,5300000,33140,2019
3400 Pine Tree Dr,25.809452,-80.127879,3.599999905,43.19999886,11,287550,4707450,21,638100,4356900,30000,Miami Beach,Miami-Dade County,4995000,33140,2019
5709 La Gorce Dr,25.836681,-80.124475,2.799999952,33.59999943,11,97709.49,4852290.51,21,216826.38,4733173.62,10194,Miami Beach,Miami-Dade County,4950000,33140,2019
5975 N Bayshore Dr,25.831627,-80.180926,4,48,11,280840.5,4669159.5,21,623211,4326789,29300,Miami,Miami-Dade County,4950000,33137,2019
5763 N Bay Rd,25.837615,-80.131757,1,12,11,163903.5,4736096.5,21,363717,4536283,17100,Miami Beach,Miami-Dade County,4900000,33140,2019
4525 N Meridian Ave,25.819018,-80.131258,0.6999999881,8.399999857,11,141599.205,4648400.795,21,314221.71,4475778.29,14773,Miami Beach,Miami-Dade County,4790000,33140,2019
1600 Bay Dr,25.850226,-80.135043,0.400000006,4.800000072,11,129809.655,4570190.345,21,288059.61,4411940.39,13543,Miami Beach,Miami-Dade County,4700000,33141,2019
1244 NE 81st Ter,25.850094,-80.17245,0.3000000119,3.600000143,11,86667.57,4613332.43,21,192323.34,4507676.66,9042,Miami,Miami-Dade County,4700000,33138,2019
1870 Bay Dr,25.849371,-80.140046,0.3000000119,3.600000143,11,109173.15,4490826.85,21,242265.3,4357734.7,11390,Miami Beach,Miami-Dade County,4600000,33141,2018
1200 S Biscayne Point Rd,25.862045,-80.130075,1,12,11,107831.25,4392168.75,21,239287.5,4260712.5,11250,Miami Beach,Miami-Dade County,4500000,33141,2018
5725 LA GORCE DRIVE,25.83693,-80.124477,2.799999952,33.59999943,11,109038.96,4280961.04,21,241967.52,4148032.48,11376,Miami Beach,Miami-Dade County,4390000,33140,2019
525 Melaleuca Ln,25.816105,-80.18708,8.5,102,11,183677.355,4166322.645,21,407597.01,3942402.99,19163,Miami,Miami-Dade County,4350000,33137,2019
5701 N Bay Rd,25.836543,-80.131154,1.100000024,13.20000029,11,71887.5,4203112.5,21,159525,4115475,7500,Miami Beach,Miami-Dade County,4275000,33140,2019
3190 Pine Tree Dr,25.808882,-80.12801,3.599999905,43.19999886,11,191700,3807300,21,425400,3573600,20000,Miami Beach,Miami-Dade County,3999000,33140,2019
1 La Gorce Cir,25.847566,-80.127836,3.299999952,39.59999943,11,131793.75,3667206.25,21,292462.5,3506537.5,13750,Miami Beach,Miami-Dade County,3799000,33141,2017
3711 Pine Tree Dr,25.811087,-80.12663,3.599999905,43.19999886,11,167737.5,3582262.5,21,372225,3377775,17500,Miami Beach,Miami-Dade County,3750000,33140,2018
430 W 62nd St,25.842342,-80.127185,2.900000095,34.80000114,11,90290.7,3559709.3,21,200363.4,3449636.6,9420,Miami Beach,Miami-Dade County,3650000,33140,2019
6000 Aqua Path,25.842173,-80.122884,1,12,11,102517.6733,3397482.327,21,227496.1828,3272503.817,10695.63624,Miami Beach,Miami-Dade County,3500000,33141,2017
729 W 49th St,25.825727,-80.129826,3,36,11,92734.875,3386265.125,21,205787.25,3273212.75,9675,Miami Beach,Miami-Dade County,3479000,33140,2019
1045 N Shore Dr,25.858773,-80.144096,0.3000000119,3.600000143,11,118949.85,3181050.15,21,263960.7,3036039.3,12410,Miami Beach,Miami-Dade County,3300000,33141,2019
5800 La Gorce Dr,25.838229,-80.125202,3.299999952,39.59999943,11,94651.875,3105348.125,21,210041.25,2989958.75,9875,Miami Beach,Miami-Dade County,3200000,33140,2019
887 N Shore Dr,25.860076,-80.142652,0.3000000119,3.600000143,11,120416.355,3079583.645,21,267215.01,2932784.99,12563,Miami Beach,Miami-Dade County,3200000,33141,2018
860 Lakeview Dr,25.825045,-80.132041,0.5,6,11,178568.55,3021421.45,21,396260.1,2803729.9,18630,Miami Beach,Miami-Dade County,3199990,33140,2019
4315 N Meridian Ave,25.81629,-80.132406,0.3000000119,3.600000143,11,92207.7,3097792.3,21,204617.4,2985382.6,9620,Miami Beach,Miami-Dade County,3190000,33140,2018
3801 Collins Ave,25.811335,-80.122613,1.5,18,11,102517.6733,2897482.327,21,227496.1828,2772503.817,10695.63624,Miami Beach,Miami-Dade County,3000000,33140,2019
321 W 63rd St,25.844116,-80.126161,2,24,11,91057.5,2908941.5,21,202065,2797934,9500,Miami Beach,Miami-Dade County,2999999,33141,2019
1040 S Shore Dr,25.854126,-80.145039,0.3000000119,3.600000143,11,97767,2902232,21,216954,2783045,10200,Miami Beach,Miami-Dade County,2999999,33141,2019
6690 Windsor Ln,25.848713,-80.129944,3.400000095,40.80000114,11,125803.125,2873196.875,21,279168.75,2719831.25,13125,Miami Beach,Miami-Dade County,2999000,33141,2017
3260 Chase Ave,25.809027,-80.134969,0.3000000119,3.600000143,11,86590.89,2908409.11,21,192153.18,2802846.82,9034,Miami Beach,Miami-Dade County,2995000,33140,2019
6201 N Laguna Path,25.843755,-80.124076,0.8000000119,9.600000143,11,102517.6733,2892482.327,21,227496.1828,2767503.817,10695.63624,Miami Beach,Miami-Dade County,2995000,33141,2019
6650 Pinetree Ln,25.848428,-80.127935,3.299999952,39.59999943,11,119812.5,2870187.5,21,265875,2724125,12500,Miami Beach,Miami-Dade County,2990000,33141,2018
7308 Belle Meade Island Dr,25.842653,-80.174993,0.3000000119,3.600000143,11,154615.635,2820384.365,21,343106.37,2631893.63,16131,Miami,Miami-Dade County,2975000,33138,2018
1100 Belle Meade Island Dr,25.843985,-80.174943,0.3000000119,3.600000143,11,109173.15,2840826.85,21,242265.3,2707734.7,11390,Miami,Miami-Dade County,2950000,33138,2019
6034 Pine Tree Dr,25.841431,-80.12498,3,36,11,71149.455,2677850.545,21,157887.21,2591112.79,7423,Miami Beach,Miami-Dade County,2749000,33140,2019
71 La Gorce Cir,25.849172,-80.129113,3.099999905,37.19999886,11,138177.36,2606822.64,21,306628.32,2438371.68,14416,Miami Beach,Miami-Dade County,2745000,33141,2019
4530 Alton Rd,25.820883,-80.136462,0.400000006,4.800000072,11,61727.4,2628272.6,21,136978.8,2553021.2,6440,Miami Beach,Miami-Dade County,2690000,33140,2019
6200 Alton Rd,25.84287,-80.12831,1.399999976,16.79999971,11,70861.905,2619138.095,21,157249.11,2532750.89,7393,Miami Beach,Miami-Dade County,2690000,33140,2019
6020 Aqua Path,25.842374,-80.122885,1,12,11,102517.6733,2546482.327,21,227496.1828,2421503.817,10695.63624,Miami Beach,Miami-Dade County,2649000,33141,2019
6105 W Laguna Dr,25.84279,-80.123771,0.3000000119,3.600000143,11,102517.6733,2546482.327,21,227496.1828,2421503.817,10695.63624,Miami Beach,Miami-Dade County,2649000,33141,2019
4420 Bay Point Rd,25.816727,-80.187744,8.399999619,100.7999954,11,131889.6,2468110.4,21,292675.2,2307324.8,13760,Miami,Miami-Dade County,2600000,33137,2019
4610 Alton Rd,25.822246,-80.136167,0.3000000119,3.600000143,11,102517.6733,2487482.327,21,227496.1828,2362503.817,10695.63624,Miami Beach,Miami-Dade County,2590000,33140,2019
7530 Miami View Dr,25.845879,-80.159919,0.3000000119,3.600000143,11,77159.25,2472840.75,21,171223.5,2378776.5,8050,North Bay Village,Miami-Dade County,2550000,33141,2017
6030 Alton Rd,25.842163,-80.129573,0.8999999762,10.79999971,11,106278.48,2393721.52,21,235841.76,2264158.24,11088,Miami Beach,Miami-Dade County,2500000,33140,2018
1690 S Treasure Drive,25.844403,-80.150176,0.3000000119,3.600000143,11,86265,2408735,21,191430,2303570,9000,North Bay Village,Miami-Dade County,2495000,33141,2019
4201 Bay Point Rd,25.815055,-80.187757,9.100000381,109.2000046,11,192064.23,2297935.77,21,426208.26,2063791.74,20038,Miami,Miami-Dade County,2490000,33137,2019
5414 Pine Tree Dr,25.832106,-80.124617,3,36,11,71887.5,2408112.5,21,159525,2320475,7500,Miami Beach,Miami-Dade County,2480000,33140,2019
315 N Shore Dr,25.861228,-80.133051,0.3000000119,3.600000143,11,97767,2352233,21,216954,2233046,10200,Miami Beach,Miami-Dade County,2450000,33141,2019
5600 Pine Tree Dr,25.835011,-80.124158,2.900000095,34.80000114,11,91910.565,2358089.435,21,203958.03,2246041.97,9589,Miami Beach,Miami-Dade County,2450000,33140,2019
865 W 47th St,25.822526,-80.132487,1.200000048,14.40000057,11,71590.365,2323409.635,21,158865.63,2236134.37,7469,Miami Beach,Miami-Dade County,2395000,33140,2019
641 Island Rd,25.81826,-80.185514,6.300000191,75.60000229,11,164037.69,2230962.31,21,364014.78,2030985.22,17114,Miami,Miami-Dade County,2395000,33137,2019
5750 La Gorce Dr,25.837507,-80.125129,3.299999952,39.59999943,11,72730.98,2317269.02,21,161396.76,2228603.24,7588,Miami Beach,Miami-Dade County,2390000,33140,2019
970 S Shore DR,25.854441,-80.14354,0.5,6,11,105914.25,2269085.75,21,235033.5,2139966.5,11050,Miami Beach,Miami-Dade County,2375000,33141,2019
6089 Alton Rd,25.842292,-80.1283,2.099999905,25.19999886,11,254242.125,2095757.875,21,564186.75,1785813.25,26525,Miami Beach,Miami-Dade County,2350000,33140,2019
3616 Flamingo Dr,25.811638,-80.126318,3.400000095,40.80000114,11,105435,2243565,21,233970,2115030,11000,Miami Beach,Miami-Dade County,2349000,33140,2019
1190 Bay Dr,25.852507,-80.131122,0.3000000119,3.600000143,11,118710.225,2230289.775,21,263428.95,2085571.05,12385,Miami Beach,Miami-Dade County,2349000,33141,2019
825 NE 76th St,25.84498,-80.179058,0.6000000238,7.200000286,11,111099.735,2187900.265,21,246540.57,2052459.43,11591,Miami,Miami-Dade County,2299000,33138,2018
3447 Chase Ave,25.810494,-80.131939,0.3000000119,3.600000143,11,122064.975,2152935.025,21,270873.45,2004126.55,12735,Miami Beach,Miami-Dade County,2275000,33140,2019
480 S Shore Dr,25.856295,-80.135157,0.400000006,4.800000072,11,114061.5,2110938.5,21,253113,1971887,11900,Miami Beach,Miami-Dade County,2225000,33141,2019
5055 N Bay Rd,25.827353,-80.132325,0.3000000119,3.600000143,11,109844.1,2090155.9,21,243754.2,1956245.8,11460,Miami Beach,Miami-Dade County,2200000,33140,2019
211 Ari Way,25.843889,-80.123633,2.5,30,11,102517.6733,2097482.327,21,227496.1828,1972503.817,10695.63624,Miami Beach,Miami-Dade County,2200000,33141,2019
5975 NE 6th Ct,25.831361,-80.182268,7,84,11,223857.675,1976142.325,21,496760.85,1703239.15,23355,Miami,Miami-Dade County,2200000,33137,2019
6045 La Gorce Dr,25.841454,-80.125382,3.200000048,38.40000057,11,66500.73,2133499.27,21,147571.26,2052428.74,6938,Miami Beach,Miami-Dade County,2200000,33140,2018
4370 Nautilus Dr,25.817343,-80.136358,1.899999976,22.79999971,11,83494.935,2115505.065,21,185282.97,2013717.03,8711,Miami Beach,Miami-Dade County,2199000,33140,2019
4727 N Bay Rd,25.823979,-80.135477,0.3000000119,3.600000143,11,95313.24,2103686.76,21,211508.88,1987491.12,9944,Miami Beach,Miami-Dade County,2199000,33140,2018
4585 Alton Rd,25.8218,-80.135688,0.3000000119,3.600000143,11,90865.8,2106134.2,21,201639.6,1995360.4,9480,Miami Beach,Miami-Dade County,2197000,33140,2019
3724 Pine Tree Dr,25.811441,-80.127584,3.599999905,43.19999886,11,191700,1998300,21,425400,1764600,20000,Miami Beach,Miami-Dade County,2190000,33140,2018
1055 Belle Meade Island Dr,25.844986,-80.175224,0.200000003,2.400000036,11,118614.375,2058385.625,21,263216.25,1913783.75,12375,Miami,Miami-Dade County,2177000,33138,2018
1660 Bay Dr,25.849824,-80.136008,0.3000000119,3.600000143,11,84223.395,2065776.605,21,186899.49,1963100.51,8787,Miami Beach,Miami-Dade County,2150000,33141,2019
5666 Alton Rd,25.836174,-80.130493,1.799999952,21.59999943,11,88661.25,2011338.75,21,196747.5,1903252.5,9250,Miami Beach,Miami-Dade County,2100000,33140,2019
3490 Prairie Ave,25.811151,-80.131242,0.6999999881,8.399999857,11,93453.75,2006546.25,21,207382.5,1892617.5,9750,Miami Beach,Miami-Dade County,2100000,33140,2019
4505 N Meridian Ave,25.818622,-80.131372,0.6000000238,7.200000286,11,95111.955,2004888.045,21,211062.21,1888937.79,9923,Miami Beach,Miami-Dade County,2100000,33140,2018
1090 NE 84th St,25.852948,-80.174667,1.399999976,16.79999971,11,140592.78,1909407.22,21,311988.36,1738011.64,14668,Miami,Miami-Dade County,2050000,33138,2019
7711 Beachview Dr,25.846785,-80.157344,0.3000000119,3.600000143,11,88182,1961818,21,195684,1854316,9200,North Bay Village,Miami-Dade County,2050000,33141,2019
5815 N BAY RD,25.838618,-80.131941,0.8000000119,9.600000143,11,81836.73,1918163.27,21,181603.26,1818396.74,8538,Miami Beach,Miami-Dade County,2000000,33140,2019
4427 Royal Palm Ave,25.817536,-80.127746,2.599999905,31.19999886,11,71887.5,1928110.5,21,159525,1840473,7500,Miami Beach,Miami-Dade County,1999998,33140,2019
4151 Gate Ln,25.816163,-80.185693,6.900000095,82.80000114,11,139950.585,1855049.415,21,310563.27,1684436.73,14601,Miami,Miami-Dade County,1995000,33137,2019
1034 NE 84th St,25.852879,-80.175823,2.400000095,28.80000114,11,134036.64,1860963.36,21,297439.68,1697560.32,13984,Miami,Miami-Dade County,1995000,33138,2019
227 N Shore Dr,25.860616,-80.131175,0.6000000238,7.200000286,11,107706.645,1882293.355,21,239010.99,1750989.01,11237,Miami Beach,Miami-Dade County,1990000,33141,2019
5436 Alton Rd,25.834303,-80.129428,1.700000048,20.40000057,11,78721.605,1871278.395,21,174690.51,1775309.49,8213,Miami Beach,Miami-Dade County,1950000,33140,2019
7621 NE 8th Ave,25.845409,-80.179541,0.3000000119,3.600000143,11,99099.315,1750900.685,21,219910.53,1630089.47,10339,Miami,Miami-Dade County,1850000,33138,2019
271 N Shore Dr,25.861095,-80.132022,0.400000006,4.800000072,11,107706.645,1742293.355,21,239010.99,1610989.01,11237,Miami Beach,Miami-Dade County,1850000,33141,2019
4180 Alton Rd (Not Main Alton - aka 43rd St.),25.813873,-80.136842,4.300000191,51.60000229,11,57510,1791490,21,127620,1721380,6000,Miami Beach,Miami-Dade County,1849000,33140,2019
133 NE 47TH ST,25.818818,-80.192644,13.5,162,11,102517.6733,1697482.327,21,227496.1828,1572503.817,10695.63624,Miami,Miami-Dade County,1800000,33137,2019
3193 Royal Palm Ave,25.809156,-80.129584,2.599999905,31.19999886,11,71887.5,1727112.5,21,159525,1639475,7500,Miami Beach,Miami-Dade County,1799000,33140,2018
4301 Alton Rd,25.81583,-80.137046,2.799999952,33.59999943,11,92016,1678754,21,204192,1566578,9600,Miami Beach,Miami-Dade County,1770770,33140,2016
4550 Bay Point Rd,25.817865,-80.187568,8.5,102,11,229004.82,1520995.18,21,508182.84,1241817.16,23892,Miami,Miami-Dade County,1750000,33137,2019
5968 NE 6 CT,25.831188,-80.183848,9.199999809,110.3999977,11,183552.75,1541447.25,21,407320.5,1317679.5,19150,Miami,Miami-Dade County,1725000,33137,2018
6001 N Bay Rd,25.842114,-80.130269,0.3000000119,3.600000143,11,74887.605,1650112.395,21,166182.51,1558817.49,7813,Miami Beach,Miami-Dade County,1725000,33140,2018
4747 N Bay Rd,25.824347,-80.135069,0.400000006,4.800000072,11,86265,1633735,21,191430,1528570,9000,Miami Beach,Miami-Dade County,1720000,33140,2019
5410 La Gorce Dr,25.832197,-80.125598,3.5,42,11,71168.625,1628831.375,21,157929.75,1542070.25,7425,Miami Beach,Miami-Dade County,1700000,33140,2019
4230 N Bay Rd,25.813761,-80.137923,5.900000095,70.80000114,11,248251.5,1446748.5,21,550893,1144107,25900,Miami Beach,Miami-Dade County,1695000,33140,2018
681 NE 57th St,25.828792,-80.181288,3.299999952,39.59999943,11,119937.105,1555062.895,21,266151.51,1408848.49,12513,Miami,Miami-Dade County,1675000,33137,2019
5931 La Gorce Dr,25.840045,-80.12494,3.200000048,38.40000057,11,69673.365,1605326.635,21,154611.63,1520388.37,7269,Miami Beach,Miami-Dade County,1675000,33140,2019
5261 NE 5th Ave,25.824735,-80.184459,7.699999809,92.39999771,11,155411.19,1444588.81,21,344871.78,1255128.22,16214,Miami,Miami-Dade County,1600000,33137,2019
850 S Shore Dr,25.854752,-80.141474,0.5,6,11,97767,1502133,21,216954,1382946,10200,Miami Beach,Miami-Dade County,1599900,33141,2018
7701 Miami View Dr,25.846836,-80.159474,0.8000000119,9.600000143,11,73804.5,1525195.5,21,163779,1435221,7700,North Bay Village,Miami-Dade County,1599000,33141,2019
7548 W TREASURE DRIVE,25.845926,-80.154867,0.3000000119,3.600000143,11,102517.6733,1496482.327,21,227496.1828,1371503.817,10695.63624,North Bay Village,Miami-Dade County,1599000,33141,2019
4744 Bay Point Rd,25.819941,-80.187262,7.5,90,11,128726.55,1470273.45,21,285656.1,1313343.9,13430,Miami,Miami-Dade County,1599000,33137,2019
628 NE 59 ST,25.813153,-80.191714,13.89999962,166.7999954,11,66136.5,1518863.5,21,146763,1438237,6900,Miami,Miami-Dade County,1585000,33137,2019
690 S Shore Dr,25.855036,-80.138691,0.3000000119,3.600000143,11,97767,1481233,21,216954,1362046,10200,Miami Beach,Miami-Dade County,1579000,33141,2019
5970 Alton Rd,25.841345,-80.130585,1.100000024,13.20000029,11,69251.625,1495748.375,21,153675.75,1411324.25,7225,Miami Beach,Miami-Dade County,1565000,33140,2019
547 NE 59th St,25.830426,-80.184248,9.100000381,109.2000046,11,86265,1462735,21,191430,1357570,9000,Miami,Miami-Dade County,1549000,33137,2019
4975 Delaware Ave,25.825971,-80.130865,1.399999976,16.79999971,11,86265,1413735,21,191430,1308570,9000,Miami Beach,Miami-Dade County,1500000,33140,2019
441 W 34th St,25.809499,-80.129534,2.599999905,31.19999886,11,97048.125,1402951.875,21,215358.75,1284641.25,10125,Miami Beach,Miami-Dade County,1500000,33140,2019
